version,B,T,N,runtime
onethreadperblock,1,1, 10000,0.158829
multithread,1,1, 10000,0.125844
multithread_shared,1,1, 10000,0.111565
multithread_reduction,1,1, 10000,0.114207
onethreadperblock,1,1, 10000,0.111973
multithread,1,1, 10000,0.121798
multithread_shared,1,1, 10000,0.112158
multithread_reduction,1,1, 10000,0.112622
onethreadperblock,1,1, 10000,0.115327
multithread,1,1, 10000,0.112621
multithread_shared,1,1, 10000,0.125275
multithread_reduction,1,1, 10000,0.130769
onethreadperblock,1,1, 10000,0.115952
multithread,1,1, 10000,0.115879
multithread_shared,1,1, 10000,0.116030
multithread_reduction,1,1, 10000,0.115187
onethreadperblock,1,1, 10000,0.148599
multithread,1,1, 10000,0.117627
multithread_shared,1,1, 10000,0.114980
multithread_reduction,1,1, 10000,0.115179
onethreadperblock,1,1, 10000,0.117413
multithread,1,1, 10000,0.128934
multithread_shared,1,1, 10000,0.123726
multithread_reduction,1,1, 10000,0.112039
onethreadperblock,1,1, 10000,0.116415
multithread,1,1, 10000,0.112013
multithread_shared,1,1, 10000,0.117411
multithread_reduction,1,1, 10000,0.114480
onethreadperblock,1,1, 10000,0.114700
multithread,1,1, 10000,0.113485
multithread_shared,1,1, 10000,0.116495
multithread_reduction,1,1, 10000,0.117760
onethreadperblock,1,1, 10000,0.116279
multithread,1,1, 10000,0.112278
multithread_shared,1,1, 10000,0.115763
multithread_reduction,1,1, 10000,0.115858
onethreadperblock,1,1, 10000,0.114385
multithread,1,1, 10000,0.116359
multithread_shared,1,1, 10000,0.114416
multithread_reduction,1,1, 10000,0.116406
onethreadperblock,1,1, 100000,0.225937
multithread,1,1, 100000,0.219598
multithread_shared,1,1, 100000,0.218508
multithread_reduction,1,1, 100000,0.216065
onethreadperblock,1,1, 100000,0.215614
multithread,1,1, 100000,0.218860
multithread_shared,1,1, 100000,0.219538
multithread_reduction,1,1, 100000,0.219045
onethreadperblock,1,1, 100000,0.217234
multithread,1,1, 100000,0.215996
multithread_shared,1,1, 100000,0.215082
multithread_reduction,1,1, 100000,0.215910
onethreadperblock,1,1, 100000,0.216399
multithread,1,1, 100000,0.216533
multithread_shared,1,1, 100000,0.216192
multithread_reduction,1,1, 100000,0.213724
onethreadperblock,1,1, 100000,0.215196
multithread,1,1, 100000,0.216092
multithread_shared,1,1, 100000,0.214645
multithread_reduction,1,1, 100000,0.215404
onethreadperblock,1,1, 100000,0.215179
multithread,1,1, 100000,0.220357
multithread_shared,1,1, 100000,0.212457
multithread_reduction,1,1, 100000,0.215725
onethreadperblock,1,1, 100000,0.214055
multithread,1,1, 100000,0.214226
multithread_shared,1,1, 100000,0.217014
multithread_reduction,1,1, 100000,0.215971
onethreadperblock,1,1, 100000,0.215409
multithread,1,1, 100000,0.216852
multithread_shared,1,1, 100000,0.214319
multithread_reduction,1,1, 100000,0.214164
onethreadperblock,1,1, 100000,0.215350
multithread,1,1, 100000,0.216692
multithread_shared,1,1, 100000,0.214549
multithread_reduction,1,1, 100000,0.216068
onethreadperblock,1,1, 100000,0.213951
multithread,1,1, 100000,0.215536
multithread_shared,1,1, 100000,0.214893
multithread_reduction,1,1, 100000,0.214674
onethreadperblock,1,1, 1000000,1.242323
multithread,1,1, 1000000,1.254803
multithread_shared,1,1, 1000000,1.261718
multithread_reduction,1,1, 1000000,1.258686
onethreadperblock,1,1, 1000000,1.270430
multithread,1,1, 1000000,1.262675
multithread_shared,1,1, 1000000,1.264193
multithread_reduction,1,1, 1000000,1.268369
onethreadperblock,1,1, 1000000,1.270348
multithread,1,1, 1000000,1.265209
multithread_shared,1,1, 1000000,1.272281
multithread_reduction,1,1, 1000000,1.266278
onethreadperblock,1,1, 1000000,1.266341
multithread,1,1, 1000000,1.263000
multithread_shared,1,1, 1000000,1.257093
multithread_reduction,1,1, 1000000,1.277859
onethreadperblock,1,1, 1000000,1.262668
multithread,1,1, 1000000,1.258993
multithread_shared,1,1, 1000000,1.260322
multithread_reduction,1,1, 1000000,1.263489
onethreadperblock,1,1, 1000000,1.266634
multithread,1,1, 1000000,1.263709
multithread_shared,1,1, 1000000,1.265936
multithread_reduction,1,1, 1000000,1.257732
onethreadperblock,1,1, 1000000,1.264023
multithread,1,1, 1000000,1.263651
multithread_shared,1,1, 1000000,1.259354
multithread_reduction,1,1, 1000000,1.264605
onethreadperblock,1,1, 1000000,1.260305
multithread,1,1, 1000000,1.264666
multithread_shared,1,1, 1000000,1.263337
multithread_reduction,1,1, 1000000,1.259975
onethreadperblock,1,1, 1000000,1.267212
multithread,1,1, 1000000,1.266388
multithread_shared,1,1, 1000000,1.268851
multithread_reduction,1,1, 1000000,1.267711
onethreadperblock,1,1, 1000000,1.264193
multithread,1,1, 1000000,1.265827
multithread_shared,1,1, 1000000,1.265105
multithread_reduction,1,1, 1000000,1.264190
multithread_reduction,1,1, 100000000,87.967529
onethreadperblock,1,1, 10000000,10.453976
multithread,1,1, 10000000,5.374727
multithread_shared,1,1, 10000000,5.169527
multithread_reduction,1,1, 10000000,5.155624
onethreadperblock,1,1, 10000000,5.707409
multithread,1,1, 10000000,5.740631
multithread_shared,1,1, 10000000,5.650116
multithread_reduction,1,1, 10000000,5.694016
onethreadperblock,1,1, 10000000,5.639204
multithread,1,1, 10000000,5.665545
multithread_shared,1,1, 10000000,5.655915
multithread_reduction,1,1, 10000000,5.706409
onethreadperblock,1,1, 10000000,5.317125
multithread,1,1, 10000000,5.459594
multithread_shared,1,1, 10000000,5.269716
multithread_reduction,1,1, 10000000,5.531587
onethreadperblock,1,1, 10000000,5.730918
multithread,1,1, 10000000,5.701136
multithread_shared,1,1, 10000000,5.691724
multithread_reduction,1,1, 10000000,5.696645
onethreadperblock,1,1, 10000000,5.711047
multithread,1,1, 10000000,5.694708
multithread_shared,1,1, 10000000,5.715024
multithread_reduction,1,1, 10000000,5.693675
onethreadperblock,1,1, 10000000,5.672897
multithread,1,1, 10000000,5.675262
multithread_shared,1,1, 10000000,5.640258
multithread_reduction,1,1, 10000000,5.672605
onethreadperblock,1,1, 10000000,5.730221
multithread,1,1, 10000000,5.712159
multithread_shared,1,1, 10000000,5.723292
multithread_reduction,1,1, 10000000,5.726929
onethreadperblock,1,1, 10000000,5.751584
multithread,1,1, 10000000,5.712656
multithread_shared,1,1, 10000000,5.799089
multithread_reduction,1,1, 10000000,5.946129
onethreadperblock,1,1, 10000000,5.917747
multithread,1,1, 10000000,5.812890
multithread_shared,1,1, 10000000,5.722104
multithread_reduction,1,1, 10000000,5.703314
onethreadperblock,1,1, 100000000,56.537968
multithread,1,1, 100000000,56.537575
multithread_shared,1,1, 100000000,56.185356
multithread_reduction,1,1, 100000000,54.389854
onethreadperblock,1,1, 100000000,51.501404
multithread,1,1, 100000000,52.939575
multithread_shared,1,1, 100000000,55.884583
multithread_reduction,1,1, 100000000,56.037220
onethreadperblock,1,1, 100000000,55.886612
multithread,1,1, 100000000,56.283802
multithread_shared,1,1, 100000000,56.294922
multithread_reduction,1,1, 100000000,55.731075
onethreadperblock,1,1, 100000000,56.037964
multithread,1,1, 100000000,56.109314
multithread_shared,1,1, 100000000,56.209068
multithread_reduction,1,1, 100000000,55.865025
onethreadperblock,1,1, 100000000,56.113045
multithread,1,1, 100000000,54.421841
