version,B,T,N,runtime
onethreadperblock,1,1, 1000,0.070791
multithread,1,1, 1000,0.070322
multithread_shared,1,1, 1000,0.065190
multithread_reduction,1,1, 1000,0.046470
onethreadperblock,1,1, 1000,0.043581
multithread,1,1, 1000,0.044384
multithread_shared,1,1, 1000,0.043162
multithread_reduction,1,1, 1000,0.042956
onethreadperblock,1,1, 1000,0.064330
multithread,1,1, 1000,0.042663
multithread_shared,1,1, 1000,0.064387
multithread_reduction,1,1, 1000,0.045734
onethreadperblock,1,1, 1000,0.043311
multithread,1,1, 1000,0.043356
multithread_shared,1,1, 1000,0.044543
multithread_reduction,1,1, 1000,0.042904
onethreadperblock,1,1, 1000,0.044044
multithread,1,1, 1000,0.051806
multithread_shared,1,1, 1000,0.042713
multithread_reduction,1,1, 1000,0.046519
onethreadperblock,1,1, 10000,0.047979
multithread,1,1, 10000,0.047978
multithread_shared,1,1, 10000,0.046982
multithread_reduction,1,1, 10000,0.049335
onethreadperblock,1,1, 10000,0.047569
multithread,1,1, 10000,0.064102
multithread_shared,1,1, 10000,0.046730
multithread_reduction,1,1, 10000,0.055643
onethreadperblock,1,1, 10000,0.048962
multithread,1,1, 10000,0.047712
multithread_shared,1,1, 10000,0.047575
multithread_reduction,1,1, 10000,0.048769
onethreadperblock,1,1, 10000,0.049286
multithread,1,1, 10000,0.047082
multithread_shared,1,1, 10000,0.048133
multithread_reduction,1,1, 10000,0.050284
onethreadperblock,1,1, 10000,0.048009
multithread,1,1, 10000,0.048776
multithread_shared,1,1, 10000,0.050211
multithread_reduction,1,1, 10000,0.052222
onethreadperblock,1,1, 100000,0.093555
multithread,1,1, 100000,0.092872
multithread_shared,1,1, 100000,0.097519
multithread_reduction,1,1, 100000,0.109116
onethreadperblock,1,1, 100000,0.092606
multithread,1,1, 100000,0.110902
multithread_shared,1,1, 100000,0.093316
multithread_reduction,1,1, 100000,0.110059
onethreadperblock,1,1, 100000,0.093319
multithread,1,1, 100000,0.109950
multithread_shared,1,1, 100000,0.093672
multithread_reduction,1,1, 100000,0.099865
onethreadperblock,1,1, 100000,0.093487
multithread,1,1, 100000,0.093864
multithread_shared,1,1, 100000,0.109991
multithread_reduction,1,1, 100000,0.110236
onethreadperblock,1,1, 100000,0.112572
multithread,1,1, 100000,0.093611
multithread_shared,1,1, 100000,0.092832
multithread_reduction,1,1, 100000,0.110617
onethreadperblock,1,1, 1000000,0.555589
multithread,1,1, 1000000,0.599382
multithread_shared,1,1, 1000000,0.581358
multithread_reduction,1,1, 1000000,0.581808
onethreadperblock,1,1, 1000000,0.547172
multithread,1,1, 1000000,0.569363
multithread_shared,1,1, 1000000,0.594254
multithread_reduction,1,1, 1000000,0.569466
onethreadperblock,1,1, 1000000,0.568658
multithread,1,1, 1000000,0.548705
multithread_shared,1,1, 1000000,0.555062
multithread_reduction,1,1, 1000000,0.576046
onethreadperblock,1,1, 1000000,0.579876
multithread,1,1, 1000000,0.571480
multithread_shared,1,1, 1000000,0.581058
multithread_reduction,1,1, 1000000,0.566633
onethreadperblock,1,1, 1000000,0.551890
multithread,1,1, 1000000,0.572830
multithread_shared,1,1, 1000000,0.571089
multithread_reduction,1,1, 1000000,0.575939
onethreadperblock,1,1, 10000000,5.142098
multithread,1,1, 10000000,5.176233
multithread_shared,1,1, 10000000,5.111506
multithread_reduction,1,1, 10000000,5.209432
onethreadperblock,1,1, 10000000,5.189641
multithread,1,1, 10000000,5.177435
multithread_shared,1,1, 10000000,5.151697
multithread_reduction,1,1, 10000000,5.163662
onethreadperblock,1,1, 10000000,5.198880
multithread,1,1, 10000000,5.187371
multithread_shared,1,1, 10000000,5.137784
multithread_reduction,1,1, 10000000,5.189249
onethreadperblock,1,1, 10000000,5.190131
multithread,1,1, 10000000,5.191786
multithread_shared,1,1, 10000000,5.135303
multithread_reduction,1,1, 10000000,5.180369
onethreadperblock,1,1, 10000000,5.203188
multithread,1,1, 10000000,5.199835
multithread_shared,1,1, 10000000,5.126896
multithread_reduction,1,1, 10000000,5.153320
onethreadperblock,1,1, 100000000,50.912796
multithread,1,1, 100000000,51.002823
multithread_shared,1,1, 100000000,51.268177
multithread_reduction,1,1, 100000000,51.288101
onethreadperblock,1,1, 100000000,50.900074
multithread,1,1, 100000000,51.117306
multithread_shared,1,1, 100000000,51.286808
multithread_reduction,1,1, 100000000,51.100857
onethreadperblock,1,1, 100000000,50.915848
multithread,1,1, 100000000,51.070477
multithread_shared,1,1, 100000000,51.209358
multithread_reduction,1,1, 100000000,51.175964
onethreadperblock,1,1, 100000000,51.016773
multithread,1,1, 100000000,50.928928
multithread_shared,1,1, 100000000,50.916962
multithread_reduction,1,1, 100000000,51.057919
onethreadperblock,1,1, 100000000,51.087257
multithread,1,1, 100000000,51.142132
multithread_shared,1,1, 100000000,51.078335
multithread_reduction,1,1, 100000000,51.032421
onethreadperblock,1,1, 1000000000,509.529816
multithread,1,1, 1000000000,509.632141
multithread_shared,1,1, 1000000000,509.723877
multithread_reduction,1,1, 1000000000,509.549835
onethreadperblock,1,1, 1000000000,510.005463
multithread,1,1, 1000000000,509.593719
multithread_shared,1,1, 1000000000,509.436462
multithread_reduction,1,1, 1000000000,509.516418
onethreadperblock,1,1, 1000000000,509.542084
multithread,1,1, 1000000000,509.474945
multithread_shared,1,1, 1000000000,509.848755
multithread_reduction,1,1, 1000000000,509.637360
onethreadperblock,1,1, 1000000000,509.422180
multithread,1,1, 1000000000,509.692230
multithread_shared,1,1, 1000000000,510.054657
multithread_reduction,1,1, 1000000000,509.781189
onethreadperblock,1,1, 1000000000,509.795532
multithread,1,1, 1000000000,509.592255
multithread_shared,1,1, 1000000000,509.998016
multithread_reduction,1,1, 1000000000,509.769318
onethreadperblock,1,32, 1000,0.066875
multithread,1,32, 1000,0.060597
multithread_shared,1,32, 1000,0.062304
multithread_reduction,1,32, 1000,0.059886
onethreadperblock,1,32, 1000,0.061387
multithread,1,32, 1000,0.042497
multithread_shared,1,32, 1000,0.044072
multithread_reduction,1,32, 1000,0.051585
onethreadperblock,1,32, 1000,0.061923
multithread,1,32, 1000,0.061122
multithread_shared,1,32, 1000,0.043637
multithread_reduction,1,32, 1000,0.061184
onethreadperblock,1,32, 1000,0.061813
multithread,1,32, 1000,0.043199
multithread_shared,1,32, 1000,0.045170
multithread_reduction,1,32, 1000,0.044040
onethreadperblock,1,32, 1000,0.045266
multithread,1,32, 1000,0.042830
multithread_shared,1,32, 1000,0.051536
multithread_reduction,1,32, 1000,0.044945
onethreadperblock,1,32, 10000,0.048932
multithread,1,32, 10000,0.043730
multithread_shared,1,32, 10000,0.043289
multithread_reduction,1,32, 10000,0.045598
onethreadperblock,1,32, 10000,0.046900
multithread,1,32, 10000,0.042642
multithread_shared,1,32, 10000,0.044832
multithread_reduction,1,32, 10000,0.053122
onethreadperblock,1,32, 10000,0.052359
multithread,1,32, 10000,0.043541
multithread_shared,1,32, 10000,0.041309
multithread_reduction,1,32, 10000,0.043848
onethreadperblock,1,32, 10000,0.050053
multithread,1,32, 10000,0.042431
multithread_shared,1,32, 10000,0.042307
multithread_reduction,1,32, 10000,0.043395
onethreadperblock,1,32, 10000,0.069324
multithread,1,32, 10000,0.044634
multithread_shared,1,32, 10000,0.044894
multithread_reduction,1,32, 10000,0.043869
onethreadperblock,1,32, 100000,0.103867
multithread,1,32, 100000,0.045230
multithread_shared,1,32, 100000,0.045072
multithread_reduction,1,32, 100000,0.045084
onethreadperblock,1,32, 100000,0.094496
multithread,1,32, 100000,0.043786
multithread_shared,1,32, 100000,0.055294
multithread_reduction,1,32, 100000,0.044459
onethreadperblock,1,32, 100000,0.094658
multithread,1,32, 100000,0.061490
multithread_shared,1,32, 100000,0.046139
multithread_reduction,1,32, 100000,0.079912
onethreadperblock,1,32, 100000,0.111633
multithread,1,32, 100000,0.046707
multithread_shared,1,32, 100000,0.045228
multithread_reduction,1,32, 100000,0.080865
onethreadperblock,1,32, 100000,0.093824
multithread,1,32, 100000,0.044571
multithread_shared,1,32, 100000,0.044789
multithread_reduction,1,32, 100000,0.063396
onethreadperblock,1,32, 1000000,0.547897
multithread,1,32, 1000000,0.078735
multithread_shared,1,32, 1000000,0.059227
multithread_reduction,1,32, 1000000,0.058276
onethreadperblock,1,32, 1000000,0.571943
multithread,1,32, 1000000,0.088558
multithread_shared,1,32, 1000000,0.076250
multithread_reduction,1,32, 1000000,0.076284
onethreadperblock,1,32, 1000000,0.551281
multithread,1,32, 1000000,0.059981
multithread_shared,1,32, 1000000,0.058824
multithread_reduction,1,32, 1000000,0.078585
onethreadperblock,1,32, 1000000,0.572229
multithread,1,32, 1000000,0.077667
multithread_shared,1,32, 1000000,0.076448
multithread_reduction,1,32, 1000000,0.058587
onethreadperblock,1,32, 1000000,0.554924
multithread,1,32, 1000000,0.057973
multithread_shared,1,32, 1000000,0.058396
multithread_reduction,1,32, 1000000,0.075760
onethreadperblock,1,32, 10000000,5.128886
multithread,1,32, 10000000,0.219815
multithread_shared,1,32, 10000000,0.223059
multithread_reduction,1,32, 10000000,0.200383
onethreadperblock,1,32, 10000000,5.174813
multithread,1,32, 10000000,0.231213
multithread_shared,1,32, 10000000,0.223891
multithread_reduction,1,32, 10000000,0.202089
onethreadperblock,1,32, 10000000,5.191618
multithread,1,32, 10000000,0.226865
multithread_shared,1,32, 10000000,0.204240
multithread_reduction,1,32, 10000000,0.222559
onethreadperblock,1,32, 10000000,5.137288
multithread,1,32, 10000000,0.234693
multithread_shared,1,32, 10000000,0.217466
multithread_reduction,1,32, 10000000,0.221070
onethreadperblock,1,32, 10000000,5.135609
multithread,1,32, 10000000,0.219317
multithread_shared,1,32, 10000000,0.220353
multithread_reduction,1,32, 10000000,0.220822
onethreadperblock,1,32, 100000000,51.128704
multithread,1,32, 100000000,1.657787
multithread_shared,1,32, 100000000,1.675043
multithread_reduction,1,32, 100000000,1.666560
onethreadperblock,1,32, 100000000,50.938980
multithread,1,32, 100000000,1.660687
multithread_shared,1,32, 100000000,1.666709
multithread_reduction,1,32, 100000000,1.660500
onethreadperblock,1,32, 100000000,50.888294
multithread,1,32, 100000000,1.665868
multithread_shared,1,32, 100000000,1.667386
multithread_reduction,1,32, 100000000,1.674554
onethreadperblock,1,32, 100000000,50.985271
multithread,1,32, 100000000,1.664088
multithread_shared,1,32, 100000000,1.667982
multithread_reduction,1,32, 100000000,1.666064
onethreadperblock,1,32, 100000000,51.057995
multithread,1,32, 100000000,1.645179
multithread_shared,1,32, 100000000,1.644257
multithread_reduction,1,32, 100000000,1.664606
onethreadperblock,1,32, 1000000000,509.626190
multithread,1,32, 1000000000,15.945193
multithread_shared,1,32, 1000000000,16.028336
multithread_reduction,1,32, 1000000000,15.946291
onethreadperblock,1,32, 1000000000,509.176971
multithread,1,32, 1000000000,15.958790
multithread_shared,1,32, 1000000000,16.092524
multithread_reduction,1,32, 1000000000,16.043762
onethreadperblock,1,32, 1000000000,509.519745
multithread,1,32, 1000000000,16.002401
multithread_shared,1,32, 1000000000,16.055822
multithread_reduction,1,32, 1000000000,16.050875
onethreadperblock,1,32, 1000000000,509.515656
multithread,1,32, 1000000000,16.076748
multithread_shared,1,32, 1000000000,15.975990
multithread_reduction,1,32, 1000000000,16.062822
onethreadperblock,1,32, 1000000000,509.653809
multithread,1,32, 1000000000,16.029449
multithread_shared,1,32, 1000000000,15.982458
multithread_reduction,1,32, 1000000000,15.975016
onethreadperblock,1,64, 1000,0.063190
multithread,1,64, 1000,0.062119
multithread_shared,1,64, 1000,0.062970
multithread_reduction,1,64, 1000,0.059179
onethreadperblock,1,64, 1000,0.061138
multithread,1,64, 1000,0.043512
multithread_shared,1,64, 1000,0.059153
multithread_reduction,1,64, 1000,0.046885
onethreadperblock,1,64, 1000,0.066110
multithread,1,64, 1000,0.042641
multithread_shared,1,64, 1000,0.073758
multithread_reduction,1,64, 1000,0.060294
onethreadperblock,1,64, 1000,0.059146
multithread,1,64, 1000,0.044971
multithread_shared,1,64, 1000,0.042585
multithread_reduction,1,64, 1000,0.044684
onethreadperblock,1,64, 1000,0.043033
multithread,1,64, 1000,0.043739
multithread_shared,1,64, 1000,0.041787
multithread_reduction,1,64, 1000,0.042361
onethreadperblock,1,64, 10000,0.063674
multithread,1,64, 10000,0.043336
multithread_shared,1,64, 10000,0.042204
multithread_reduction,1,64, 10000,0.045084
onethreadperblock,1,64, 10000,0.052311
multithread,1,64, 10000,0.043289
multithread_shared,1,64, 10000,0.048127
multithread_reduction,1,64, 10000,0.043897
onethreadperblock,1,64, 10000,0.063991
multithread,1,64, 10000,0.047752
multithread_shared,1,64, 10000,0.044236
multithread_reduction,1,64, 10000,0.042461
onethreadperblock,1,64, 10000,0.047448
multithread,1,64, 10000,0.062882
multithread_shared,1,64, 10000,0.043250
multithread_reduction,1,64, 10000,0.044739
onethreadperblock,1,64, 10000,0.047280
multithread,1,64, 10000,0.043165
multithread_shared,1,64, 10000,0.042502
multithread_reduction,1,64, 10000,0.043147
onethreadperblock,1,64, 100000,0.112985
multithread,1,64, 100000,0.046579
multithread_shared,1,64, 100000,0.044159
multithread_reduction,1,64, 100000,0.042693
onethreadperblock,1,64, 100000,0.094290
multithread,1,64, 100000,0.062412
multithread_shared,1,64, 100000,0.044266
multithread_reduction,1,64, 100000,0.042966
onethreadperblock,1,64, 100000,0.093252
multithread,1,64, 100000,0.042501
multithread_shared,1,64, 100000,0.043217
multithread_reduction,1,64, 100000,0.043343
onethreadperblock,1,64, 100000,0.092616
multithread,1,64, 100000,0.043681
multithread_shared,1,64, 100000,0.043284
multithread_reduction,1,64, 100000,0.045682
onethreadperblock,1,64, 100000,0.112342
multithread,1,64, 100000,0.064320
multithread_shared,1,64, 100000,0.043545
multithread_reduction,1,64, 100000,0.043464
onethreadperblock,1,64, 1000000,0.559255
multithread,1,64, 1000000,0.051217
multithread_shared,1,64, 1000000,0.071253
multithread_reduction,1,64, 1000000,0.072990
onethreadperblock,1,64, 1000000,0.570317
multithread,1,64, 1000000,0.050664
multithread_shared,1,64, 1000000,0.050946
multithread_reduction,1,64, 1000000,0.069224
onethreadperblock,1,64, 1000000,0.559530
multithread,1,64, 1000000,0.054274
multithread_shared,1,64, 1000000,0.049947
multithread_reduction,1,64, 1000000,0.048832
onethreadperblock,1,64, 1000000,0.551756
multithread,1,64, 1000000,0.050477
multithread_shared,1,64, 1000000,0.068169
multithread_reduction,1,64, 1000000,0.068064
onethreadperblock,1,64, 1000000,0.568733
multithread,1,64, 1000000,0.073432
multithread_shared,1,64, 1000000,0.053547
multithread_reduction,1,64, 1000000,0.050302
onethreadperblock,1,64, 10000000,5.130474
multithread,1,64, 10000000,0.140172
