version,S,T,runtime
sequential,8,1,1e-06
onethreadperblock,8,1,0.000178
multithread_atomics,8,1,0.000179
multithread_shared,8,1,0.000176
sequential,8,1,1e-06
onethreadperblock,8,1,0.000149
multithread_atomics,8,1,0.000165
multithread_shared,8,1,0.000162
sequential,8,1,1e-06
onethreadperblock,8,1,0.000164
multithread_atomics,8,1,0.000188
multithread_shared,8,1,0.000168
sequential,8,1,1e-06
onethreadperblock,8,1,0.000163
multithread_atomics,8,1,0.000159
multithread_shared,8,1,0.000168
sequential,8,1,1e-06
onethreadperblock,8,1,0.000167
multithread_atomics,8,1,0.000168
multithread_shared,8,1,0.000167
sequential,8,1,0
onethreadperblock,8,1,0.00017
multithread_atomics,8,1,0.000167
multithread_shared,8,1,0.000175
sequential,8,1,1e-06
onethreadperblock,8,1,0.000177
multithread_atomics,8,1,0.000147
multithread_shared,8,1,0.000162
sequential,8,1,0
onethreadperblock,8,1,0.000167
multithread_atomics,8,1,0.000168
multithread_shared,8,1,0.000169
sequential,8,1,0
onethreadperblock,8,1,0.000169
multithread_atomics,8,1,0.000155
multithread_shared,8,1,0.000335
sequential,8,1,1e-06
onethreadperblock,8,1,0.000168
multithread_atomics,8,1,0.000163
multithread_shared,8,1,0.000167
sequential,8,32,0
onethreadperblock,8,32,0.000166
multithread_atomics,8,32,0.00015
multithread_shared,8,32,0.00017
sequential,8,32,0
onethreadperblock,8,32,0.000166
multithread_atomics,8,32,0.000161
multithread_shared,8,32,0.000164
sequential,8,32,1e-06
onethreadperblock,8,32,0.000144
multithread_atomics,8,32,0.000148
multithread_shared,8,32,0.000173
sequential,8,32,0
onethreadperblock,8,32,0.000102
multithread_atomics,8,32,0.00016
multithread_shared,8,32,0.000167
sequential,8,32,1e-06
onethreadperblock,8,32,0.00017
multithread_atomics,8,32,0.000161
multithread_shared,8,32,0.000169
sequential,8,32,0
onethreadperblock,8,32,0.000146
multithread_atomics,8,32,0.000146
multithread_shared,8,32,0.000171
sequential,8,32,1e-06
onethreadperblock,8,32,0.000128
multithread_atomics,8,32,0.000165
multithread_shared,8,32,0.000161
